user_id,age,gender,location,occupation,income_level
1,43,Other,Christophermouth,"Producer, television/film/video",medium
2,35,F,South Jason,"Journalist, newspaper",high
3,52,Other,Jamesview,Hospital pharmacist,medium
4,59,F,North Shelly,Retail buyer,high
5,40,Other,Thomasland,Information systems manager,low
6,13,M,Cantustad,Hydrogeologist,high
7,29,F,Smithborough,Futures trader,medium
8,33,F,Lake Dustinville,Equality and diversity officer,high
9,49,Other,Lewistown,Counselling psychologist,low
10,18,F,Sanfordstad,Biomedical scientist,low
11,35,F,Lake Ebony,Management consultant,low
12,47,F,North Rebecca,"Administrator, Civil Service",high
13,36,Other,East Brendashire,Clinical research associate,high
14,64,M,Ryanport,Photographer,high
15,52,M,Port Melissa,"Production assistant, television",medium
16,29,F,Johnsonshire,Health promotion specialist,low
17,36,F,West Charlestown,Paramedic,medium
18,26,F,Seanside,Translator,high
19,53,F,New Desireeport,"Merchandiser, retail",high
20,18,M,Shelbyfurt,"Engineer, manufacturing systems",low
21,53,Other,Jacobschester,"Programmer, applications",low
22,35,Other,Taylormouth,Advertising account planner,high
23,11,F,Lake Patricia,Glass blower/designer,medium
24,36,Other,Wilsonville,"Designer, industrial/product",high
25,24,M,Garrettport,Phytotherapist,medium
26,56,Other,Melanieland,"Scientist, research (medical)",high
27,30,F,East Karenstad,Politician's assistant,medium
28,18,Other,Port Nicholeport,Chiropractor,low
29,39,F,West Anna,Environmental health practitioner,high
30,28,F,New Michelletown,Adult guidance worker,high
31,1,F,Port Wesley,Learning mentor,medium
32,56,M,East Stevenmouth,"Librarian, public",medium
33,34,F,Marychester,"Radiographer, therapeutic",high
34,23,M,Jacquelineland,"Solicitor, Scotland",medium
35,26,Other,North Ronald,Primary school teacher,low
36,56,F,North Jenniferfort,Charity officer,low
37,24,F,South Timothyland,Farm manager,medium
38,29,Other,Port Brandiport,Insurance claims handler,low
39,16,Other,Ericksonfort,Actor,medium
40,36,M,Matthewsfurt,"Engineer, electrical",high
41,30,F,Fuentesborough,English as a foreign language teacher,low
42,42,F,East Lisa,Chief Technology Officer,low
43,42,F,Samueltown,Meteorologist,low
44,40,M,Port Christian,Editorial assistant,medium
45,20,Other,Timothychester,"Conservator, furniture",low
46,20,M,Marquezview,Chartered certified accountant,low
47,22,M,Bradton,"Engineer, petroleum",low
48,55,M,Bairdhaven,Database administrator,high
49,46,F,South Brandon,Advertising copywriter,high
50,48,M,Kelseyfort,Barrister,low
51,8,Other,Williamsburgh,Sports therapist,high
52,39,Other,East Peggyton,"Copywriter, advertising",medium
53,42,Other,Ashleyton,"Surveyor, mining",low
54,44,F,East Patrickfort,Neurosurgeon,low
55,30,M,Barnestown,Intelligence analyst,high
56,32,M,Lake Mary,Consulting civil engineer,low
57,35,M,Edwardsstad,Editorial assistant,high
58,34,Other,East Jeanne,IT trainer,high
59,47,F,West Kevin,"Engineer, chemical",high
60,15,F,Port Denisefort,"Designer, ceramics/pottery",low
61,50,Other,West Howardmouth,"Engineer, site",medium
62,51,M,Rebeccaville,Conference centre manager,low
63,47,F,Ashleytown,"Administrator, local government",medium
64,36,F,Tylermouth,Musician,medium
65,64,M,North Tracychester,Equality and diversity officer,medium
66,39,M,New John,Facilities manager,high
67,50,F,South Angelamouth,Chief Strategy Officer,high
68,22,M,Brownview,Counselling psychologist,high
69,23,M,Danielborough,Private music teacher,medium
70,10,M,Knightmouth,"Journalist, broadcasting",low
71,41,Other,New Brian,"Scientist, research (life sciences)",low
72,20,Other,Smithmouth,Seismic interpreter,low
73,34,M,Richardchester,Writer,high
74,37,M,Port Sean,Catering manager,medium
75,20,Other,Port Jamie,Occupational therapist,high
76,10,M,Mullenberg,Health and safety adviser,medium
77,59,Other,South Charles,Dentist,high
78,13,Other,Lake David,Publishing copy,medium
79,37,M,Lindastad,Lexicographer,high
80,12,F,Hoffmanchester,"Accountant, chartered",low
81,50,M,Lake Brandiland,Barrister's clerk,high
82,54,M,Trevorview,Theatre director,low
83,24,F,East Derekshire,"Production designer, theatre/television/film",high
84,29,F,Charlesfort,Corporate investment banker,low
85,48,F,Allenmouth,Interior and spatial designer,high
86,17,M,East Marcus,Legal executive,medium
87,28,M,Whiteshire,"Embryologist, clinical",low
88,35,M,South Davidfurt,Commercial/residential surveyor,medium
89,26,F,Valeriemouth,Fish farm manager,medium
90,36,F,Matthewhaven,"Surveyor, quantity",high
91,22,F,Port Andrea,"Psychologist, educational",high
92,18,F,Lake Stephenborough,Teaching laboratory technician,medium
93,20,Other,Markstad,Animator,high
94,58,M,New Jenna,Fast food restaurant manager,medium
95,15,Other,South Wendyside,Emergency planning/management officer,low
96,37,Other,Rachelburgh,Tax inspector,low
97,27,M,Lake Vanessa,Physiological scientist,low
98,11,F,South Tina,Pharmacologist,high
99,50,F,East Keithburgh,Soil scientist,low
100,28,M,South Dawn,Rural practice surveyor,medium
101,27,M,New Craig,Housing manager/officer,low
102,19,M,New Bobby,Geochemist,medium
103,11,F,Sarastad,"Designer, blown glass/stained glass",low
104,59,F,Joshuafort,Health and safety adviser,low
105,48,F,Lake Donnaside,Broadcast journalist,medium
106,43,M,Garciashire,Holiday representative,medium
107,31,Other,Santiagoton,Educational psychologist,low
108,37,M,Rileymouth,Volunteer coordinator,low
109,22,F,Samuelfurt,Chief Technology Officer,low
110,37,Other,Hartville,Broadcast journalist,high
111,36,F,Lake Chadview,Advertising account planner,low
112,51,Other,Lake James,Financial controller,high
113,20,Other,Janetchester,Energy engineer,low
114,48,Other,Marthashire,"Runner, broadcasting/film/video",high
115,30,F,Barnesmouth,Event organiser,high
116,44,M,New Jasonborough,Legal executive,medium
